# Dictionary file - Format: word|meaning1;meaning2;meaning3
# Generated by Advanced Dictionary System

creative|involving imagination;creating;artistic;imaginative
creature|animal or person;person of kind;imaginary being;being
credit|acknowledgment;source of pride;standing;grade;belief
crew|group manning vessel;group;company;provide with crew;team
crime|unlawful act;illegal activity;shameful act;offense;sin
criminal|relating to crime;person guilty;unlawful;felon;culprit
crisis|time of difficulty;turning point;emergency;critical time
criterion|principle for judgment;standard;measure;test;touchstone
critic|person who judges;reviewer;fault-finder;judge;commentator
critical|expressing disapproval;analyzing;crucial;ill;decisive
criticism|expression of disapproval;analysis;critique;censure
criticize|indicate faults;evaluate;find fault;judge;review
crop|plant cultivated;harvest;hairstyle;cut short;harvest;yield
cross|mark formed by lines;upright post;decoration;go across
crowd|large number;mass;spectators;fill;move in mass;throng
crown|monarch's headdress;monarchy;wreath;top;place crown on
crucial|decisive;of great importance;critical;vital;essential
crude|in natural state;rudimentary;coarse;rough;raw;unrefined
cruel|causing pain;willfully harmful;severe;brutal;heartless
cry|shed tears;shout;call;utter;period of crying;weep;wail
cultural|relating to culture;relating to arts;cultivated
culture|arts and achievements;attitudes;cultivation;civilization
cup|small bowl;drinking vessel;award;form into cup;trophy
cupboard|recess with door;storage furniture;cabinet;closet
curious|eager to know;strange;unusual;inquisitive;odd
current|belonging to present;in common use;flow;existing;present
currently|at present time;now;presently;at this time;today
curtain|hanging fabric;screen;cover with curtain;drape;blind
curve|line deviating from straight;curved form;bend;arc;turn
custom|traditional practice;regular dealings;duties;habit;tradition
customer|person buying goods;person dealt with;client;patron
cut|make opening;divide;reduce;stop filming;act of cutting
cute|attractive;clever;pretty;endearing;appealing;charming
cycle|series of events;bicycle;ride bicycle;period;round;series
dad|father;male parent;informal term for father
daily|happening every day;of the day;newspaper published daily;everyday
damage|physical harm;injury;harm the value of;financial loss;impair
dance|move rhythmically to music;social gathering;particular sequence of steps;leap
danger|possibility of harm;risk;threat;peril;hazard
dangerous|likely to cause harm;unsafe;risky;hazardous;perilous
dare|have courage to do;challenge;defy;venture;provoke
dark|with little or no light;of a deep color;gloomy;evil;obscure
data|facts and statistics;information;details;figures;input
date|day of month or year;social appointment;fruit;mark with date;appointment
daughter|one's female child;female descendant;girl;offspring
day|period of 24 hours;period of light;particular time;daylight
dead|no longer alive;obsolete;complete;without feeling;lifeless
deal|distribute;take part in;cope with;an agreement;bargain;transaction
dealer|person who buys and sells;person who deals cards;trader;merchant
dear|regarded with affection;expensive;formal salutation;loved one;costly
death|end of life;state of being dead;permanent cessation;demise
debate|formal discussion;argument;discuss;consider;dispute
debt|sum of money owed;state of owing;obligation;liability
decade|period of ten years;ten-year span
decay|rot or decompose;decline in quality;process of rotting;deteriorate
decide|make a choice;resolve;settle;determine;conclude
decision|conclusion reached after consideration;resolution;choice;verdict
declare|announce officially;state emphatically;make known;proclaim
decline|become smaller or weaker;refuse;downward slope;reject;lessen
decorate|make more attractive;confer honor on;embellish;adorn
decrease|make or become smaller;reduction;lessen;diminish;reduce
deep|extending far down;intense;profound;low in pitch;abstruse
defeat|win a victory over;prevent from succeeding;loss;failure;conquer
defend|resist an attack;speak in favor of;protect;guard;justify
defense|action of defending;military resources;argument in justification;protection
define|state meaning of;describe nature of;mark out boundary;specify
definite|clearly stated;certain;sure;specific;fixed
definitely|without doubt;certainly;for sure;absolutely
definition|statement of meaning;clarity;specification;explanation
degree|amount or level;unit of measurement;academic award;extent
delay|make late;postpone;period of waiting;procrastinate;hinder
deliberate|done consciously;intentional;careful;unhurried;ponder
deliver|bring and hand over;provide;give speech;rescue;convey
demand|insistent request;urgent requirement;ask authoritatively;claim
democracy|system of government by whole population;control of group by its members;republic
demonstrate|show evidence of;give practical exhibition;protest;prove
deny|state not to be true;refuse to admit;refuse to give;contradict
department|division of organization;area of expertise;government branch;section
depend|be controlled by;rely on;be contingent on;trust
deposit|sum of money in bank;down payment;layer of matter;put down;place
depress|make sad;reduce activity of;press down;sadden;dispirit
depth|distance from top down;intensity;remoteness;profundity
derive|obtain from;originate from;get;educe;draw
describe|give an account of;mark out;portray in words;narrate;report
description|spoken or written account;representation;sort;kind
desert|waterless area;abandon;leave;arid region;forsake
deserve|be worthy of;merit;be entitled to;earn
design|plan or drawing;purpose;create plan for;pattern;intend
desire|strong feeling of wanting;request;wish for;want;craving
desk|piece of furniture for writing;counter in hotel;bureau
desperate|feeling hopelessness;involving danger;reckless;frantic
despite|without being affected by;in spite of;notwithstanding
destroy|end existence of;ruin;kill;demolish;eradicate
destruction|act of destroying;causing damage;ruin;demolition
detail|individual fact or item;small part;describe fully;particular
detect|discover or identify;notice;find out;perceive
determine|cause to occur;ascertain;firmly decide;resolve;establish
develop|grow or cause to grow;start to exist;elaborate;evolve
development|process of developing;new stage;event;growth;progress
device|thing made for purpose;plan;gadget;tool;instrument
devote|give time or resources to;dedicate;commit;allocate
diagram|simplified drawing;chart;plan;graphic;schema
dialogue|conversation;discussion;lines in a play;discourse
diamond|precious stone;shape;playing card suit;gem
die|stop living;cease to exist;fade away;device for cutting;perish
diet|kind of food eaten;special course of food;legislative assembly;regimen
differ|be unlike;disagree;vary;contrast
difference|way things are not same;disagreement;remainder;distinction
different|not the same;distinct;various;unusual;diverse
difficult|needing effort to do;hard;troublesome;problematic;arduous
difficulty|state of being difficult;problem;obstacle;hardship
dig|break up soil;make a hole;search;thrust;excavate
dimension|measurement of extent;aspect;scope;size;proportion
